ID	Observers	tag	lg	lf	tp	IDI
251	L.M	1342	39.6	7	2	388
252	L.M	1342	36.2	3	2	389
253	L.M	1340	40.1	7	1	386
254	L.M	1400	35.3	10	1	454
255	L.M	1339	45	8	1	385
256	L.M	1338	40.2	3	1	384
257	L.M	1337	41.6	5	1	383
258	L.M	1336	41	5	1	382
259	L.M	1335	48.2	6	1	381
260	L.M	1331	33.6	8	1	376
261	L.M	1334	34.4	7	1	380
262	L.M	1165	47	8	1	181
263	L.M	1393	42.7	7	1	446
264	L.M	1390	28.7	6	1	443
265	L.M	1388	45.1	6	1	441
266	L.M	1403	33.5	5	2	458
267	L.M	1403	32	8	2	457
268	L.M	1406	26.8	6	2	462
269	L.M	1406	9.1	2	2	461
270	L.M	1387	19.5	3	2	440
271	L.M	1387	36.1	8	2	439
272	L.M	1396	50.5	7	1	449
273	L.M	1397	36.6	8	1	450
274	L.M	1395	26.8	7	1	448
275	L.M	1389	30.1	12	1	442
276	L.M	1391	38	7	1	444
277	L.M	1394	43.5	4	1	447
278	L.M	1401	34.5	6	1	455
279	L.M	1398	3.7	2	2	451
280	L.M	1398	31.2	6	2	452
281	L.M	1569	44.5	3	2	641
282	L.M	1569	17.1	5	2	642
283	L.M	1570	31.2	10	1	643
284	L.M	1584	20.4	12	1	659
285	L.M	1571	27.5	7	1	644
286	L.M	1575	27.1	6	1	649
287	L.M	1576	27.9	7	1	650
288	L.M	1577	27.5	10	1	651
289	L.M	1578	31.1	5	1	652
290	L.M	1579	21	9	1	653
291	L.M	1618	31.5	7	1	696
292	L.M	1616	32.1	5	1	694
293	L.M	1620	26	7	1	698
294	L.M	1631	16.5	2	1	703
295	L.M	1622	16.5	4	1	700
296	L.M	1449	43.5	9	1	512
297	L.M	1450	41	8	1	513
298	L.M	1451	37.6	7	1	514
299	L.M	1432	43.5	4	1	494
300	L.M	1433	42.6	6	1	495
301	L.M	1434	34.9	8	1	496
302	L.M	1435	34.5	7	1	497
303	L.M	1437	35.6	8	1	499
304	L.M	1439	41.2	5	1	501
305	L.M	1438	31	4	1	500
306	L.M	1440	24.9	3	1	502
307	L.M	1445	52.7	3	1	508
308	L.M	1446	42.5	10	1	509
309	L.M	1436	30.6	9	1	498
310	L.M	1615	30.7	4	1	693
311	L.M	1552	36.2	6	1	622
312	L.M	1162	57.8	6	1	177
313	L.M	1161	49.6	11	1	176
314	L.M	1160	53.9	6	1	175
315	L.M	1159	44.7	9	1	174
316	L.M	1158	37.4	7	1	173
317	L.M	1420	47.6	5	2	479
318	L.M	1420	25.6	7	2	478
319	L.M	1415	32.1	6	1	472
320	L.M	1421	59.1	5	1	480
321	L.M	1416	14.8	2	2	473
322	L.M	1416	33.1	7	2	474
323	L.M	1422	44.1	11	1	481
324	L.M	1423	35.5	4	2	483
325	L.M	1423	36.1	5	2	482
326	L.M	1424	31	11	1	484
327	L.M	1441	25.6	7	1	503
328	L.M	1254	51.6	7	1	282
329	L.M	1255	63.4	3	1	283
330	L.M	1257	57.5	8	1	286
331	L.M	1268	44.1	9	1	298
332	L.M	1269	43.3	5	1	299
333	L.M	1270	46.5	8	1	300
334	L.M	1271	38.4	9	2	302
335	L.M	1271	26.5	9	2	301
336	L.M	1272	54	3	1	303
337	L.M	1273	43.2	11	1	304
338	L.M	1274	29.5	2	2	306
339	L.M	1274	32.1	8	2	305
340	L.M	1275	32.1	7	1	307
341	L.M	1330	31.6	6	1	375
342	L.M	1328	41.4	9	1	372
343	L.M	1236	47.3	7	1	263
344	L.M	1237	54.1	4	1	264
345	L.M	1238	54.2	8	1	265
346	L.M	1239	40.4	10	1	266
347	L.M	1240	44.5	11	1	267
348	L.M	1621	28	7	1	699
349	L.M	1241	54.3	3	1	268
350	L.M	1619	33	3	1	697
351	L.M	1242	34.9	4	2	270
352	L.M	1242	40	5	2	269
353	L.M	1628	28.6	9	1	702
354	L.M	1243	61.4	6	1	271
355	L.M	1244	46.5	11	1	272
356	L.M	1245	38.8	12	1	273
357	L.M	1246	56.3	8	1	274
358	L.M	1247	7.1	1	1	275
359	L.M	1248	47.2	10	1	276
360	L.M	1249	45	12	1	277
361	L.M	1222	49.8	5	1	248
362	L.M	1223	44.3	6	1	249
363	L.M	1224	19.8	4	1	250
364	L.M	1225	42.3	5	1	251
365	L.M	1226	62.1	7	1	252
366	L.M	1554	40.3	7	1	624
367	L.M	1555	42.6	3	2	626
368	L.M	1555	31.1	3	2	625
369	L.M	1556	37.8	7	1	627
370	L.M	1561	30.2	6	1	632
371	L.M	1558	42.3	5	1	629
372	L.M	1227	42.1	5	1	253
373	L.M	1557	38.3	5	1	628
374	L.M	1228	49	6	1	254
375	L.M	1559	35	7	1	630
376	L.M	1229	40.2	4	1	255
377	L.M	1562	32.5	3	1	633
378	L.M	1231	43.6	8	1	258
379	L.M	1230	43.2	4	2	257
380	L.M	1230	46.3	4	2	256
381	L.M	1565	33.4	4	2	637
382	L.M	1565	26.4	2	2	636
383	L.M	1610	27.5	4	1	688
384	L.M	1232	36.9	10	1	259
385	L.M	1611	32.5	4	1	689
386	L.M	1233	56.2	6	1	260
387	L.M	1613	29	8	1	691
388	L.M	1234	47.7	9	1	261
389	L.M	1614	31.5	7	1	692
390	L.M	1235	49.3	5	1	262
391	L.M	1627	27.5	11	1	701
392	J.L	1166	35.2	5	1	182
393	J.L	1180	46	7	1	199
394	J.L	1208	20.8	3	1	232
395	J.L	1209	45.1	6	1	233
396	J.L	1210	41.9	22	1	234
397	J.L	1211	46.2	7	1	235
398	J.L	1212	33.9	3	1	236
399	J.L	1213	31.4	3	2	238
400	J.L	1214	31.2	7	1	239
401	J.L	1215	29	12	1	240
402	J.L	1216	42.1	6	2	241
403	J.L	1217	45	6	1	243
404	J.L	1218	26.5	10	1	244
405	J.L	1219	61.1	6	1	245
406	J.L	1220	39.8	7	1	246
407	J.L	1213	46.8	4	2	237
408	J.L	1221	38.3	8	1	247
409	J.L	1216	22	3	2	242
410	J.L	1194	44.9	5	1	214
411	J.L	1195	30.1	5	2	216
412	J.L	1195	32.9	2	2	215
413	J.L	1196	38.4	8	1	217
414	J.L	1197	44.5	6	1	218
415	J.L	1198	39.6	5	1	219
416	J.L	1199	3.5	3	2	221
417	J.L	1199	40	4	2	220
418	J.L	1200	45.6	3	1	222
419	J.L	1201	45.4	9	1	223
420	J.L	1202	42.4	10	1	224
421	J.L	1203	43	6	2	226
422	J.L	1203	34.1	3	2	225
423	J.L	1204	58.9	7	1	227
424	J.L	1205	46.7	4	2	229
425	J.L	1205	57.1	4	2	228
426	J.L	1206	57.5	7	1	230
427	J.L	1207	41.8	5	1	231
428	J.L	1181	31	7	1	200
429	J.L	1182	42.5	8	1	201
431	J.L	1184	42	9	1	203
432	J.L	1185	36.2	9	2	204
433	J.L	1185	31.2	4	2	205
434	J.L	1186	41.9	10	1	206
435	J.L	1187	41.5	5	1	207
436	J.L	1188	40.9	6	1	208
437	J.L	1189	41.5	9	1	209
438	J.L	1190	50	4	1	210
439	J.L	1191	41	9	1	211
440	J.L	1192	45.5	5	1	212
441	J.L	1193	21.9	5	1	213
442	J.L	1167	37	8	2	184
443	J.L	1167	39.5	5	2	183
444	J.L	1168	43.6	10	1	185
445	J.L	1169	38	11	1	186
446	J.L	1170	41.3	4	2	188
447	J.L	1170	29.2	6	2	187
449	J.L	1171	50	5	2	190
450	J.L	1172	42.7	4	1	191
451	J.L	1173	34.5	7	1	192
452	J.L	1174	41.7	5	1	193
453	J.L	1175	52.3	5	1	194
454	J.L	1176	55.8	7	1	195
455	J.L	1177	36.2	12	1	196
456	J.L	1178	29.5	10	1	197
457	J.L	1179	38.8	9	1	198
458	J.L	1471	34.5	8	1	536
459	J.L	1497	20.6	7	1	562
460	J.L	1478	44	8	1	543
461	J.L	1493	39.2	7	1	558
462	J.L	1489	47	5	1	554
463	J.L	1496	38.8	6	1	561
464	J.L	1508	33.3	6	1	577
465	J.L	1492	35.6	7	1	557
466	J.L	1495	49.7	6	1	560
467	J.L	1509	39.3	5	1	578
468	J.L	1510	38.5	7	1	579
469	J.L	1511	43.1	8	1	580
470	J.L	1501	45.5	5	1	567
471	J.L	1513	44	6	1	583
472	J.L	1491	45.1	6	1	556
473	J.L	1479	37	9	1	544
474	J.L	1514	42	6	1	584
475	J.L	1480	45.9	7	1	545
476	J.L	1482	35.6	8	1	547
477	J.L	1481	35.2	7	1	546
478	J.L	1483	47.3	9	1	548
479	J.L	1485	43	10	1	550
480	J.L	1484	36.4	4	1	549
481	J.L	1486	43	4	1	551
482	J.L	1487	35.3	6	1	552
483	J.L	1490	51.4	6	1	555
484	J.L	1488	46.7	8	1	553
485	J.L	1462	38.9	4	1	526
486	J.L	1580	26.1	7	1	654
487	J.L	1581	30	9	1	655
488	J.L	1583	29.5	7	1	658
489	J.L	1585	29.2	9	1	660
490	J.L	1593	35.7	4	1	670
491	J.L	1594	32.5	8	1	671
492	J.L	1592	33.3	7	1	669
493	J.L	1031	38.4	7	1	33
494	J.L	1030	48.4	5	1	32
495	J.L	1046	38	8	1	48
496	J.L	1047	55.4	6	1	49
497	J.L	1048	22	14	1	50
498	J.L	1028	48.1	6	1	29
499	J.L	1029	37	5	2	31
500	J.L	1029	30	4	2	30
501	J.L	1027	34.7	7	1	28
502	J.L	1050	49.2	6	1	52
503	J.L	1042	39.6	7	1	44
504	J.L	1051	61	4	2	53
505	J.L	1051	41	3	2	54
506	J.L	1102	39.5	5	1	113
507	J.L	1040	44.5	7	1	42
508	J.L	1052	35.5	7	1	55
509	J.L	1429	48.1	9	1	490
510	J.L	1431	28.7	7	1	493
511	J.L	1430	43.4	3	2	492
512	J.L	1566	40.7	7	1	638
513	J.L	1163	48.1	11	1	178
514	J.L	1164	45	3	2	180
515	J.L	1164	49.7	2	2	179
516	J.L	1430	28.1	5	2	491
517	J.L	1574	37.8	4	2	648
518	J.L	1574	31.2	3	2	647
519	J.L	1573	37	5	1	646
520	J.L	1567	40	5	1	639
521	J.L	1560	27.7	9	1	631
522	J.L	1563	49	7	1	634
523	J.L	1564	32.5	8	1	635
524	J.L	1568	46.2	4	1	640
525	J.L	1572	35.1	8	1	645
526	J.L	1045	55.8	10	1	47
527	J.L	1021	9.7	1	1	22
528	J.L	1044	42.2	7	1	46
529	J.L	1067	34	10	1	70
530	J.L	1026	52	6	1	27
531	J.L	1039	44.6	6	1	41
532	J.L	1043	40	10	1	45
533	J.L	1025	39.5	6	1	26
534	J.L	1024	37.4	7	1	25
535	J.L	1041	41.8	8	1	43
536	J.L	1023	52.4	5	1	24
537	J.L	1049	38.2	13	1	51
538	J.L	1022	39	8	1	23
539	J.L	1101	41	8	1	112
540	J.L	1322	28	2	2	364
541	J.L	1322	9	1	2	365
542	J.L	1322	39.5	4	2	363
543	J.L	1324	39.5	5	1	367
544	J.L	1319	30.6	8	1	360
545	J.L	1320	48.2	5	1	361
546	J.L	1323	45.5	3	1	366
547	J.L	1325	35	4	2	369
548	J.L	1325	34.7	6	2	368
549	J.L	1321	45	6	1	362
550	J.L	1327	65.5	6	1	371
551	J.L	1333	53.5	8	1	379
552	J.L	1332	30.5	5	2	377
553	J.L	1332	29.2	4	2	378
554	J.L	1302	29.5	7	2	340
555	J.L	1302	30.1	5	2	339
556	J.L	1329	36.5	3	2	374
557	J.L	1329	36.5	4	2	373
558	J.L	1313	49.5	7	1	353
559	J.L	1314	40.2	5	1	354
560	J.L	1442	33.5	6	1	504
561	J.L	1447	37	8	1	510
562	J.L	1448	27	7	1	511
563	J.L	1149	43.5	11	1	162
564	J.L	1427	40.7	9	1	488
565	J.L	1148	50.5	6	1	161
566	J.L	1425	29.5	3	2	485
567	J.L	1425	35	5	2	486
569	J.L	1126	42.5	11	1	138
570	J.L	1125	27.5	7	1	137
571	J.L	1124	40.8	9	1	136
572	J.L	1123	53.9	9	1	135
573	J.L	1122	45.7	9	1	134
574	J.L	1121	40.7	6	1	133
575	J.L	1120	42.6	5	1	132
576	J.L	1119	43.7	4	1	131
577	J.L	1118	38.1	9	1	130
578	J.L	1117	33.9	6	1	129
579	J.L	1373	19	1	1	424
580	J.L	1109	43	5	1	120
581	J.L	1111	34.6	4	2	123
582	J.L	1111	34.3	1	2	122
583	J.L	1112	49.9	4	1	124
584	J.L	1138	44.5	5	1	151
585	J.L	1136	41.7	6	1	149
586	J.L	1135	39.8	6	1	148
587	J.L	1134	23.2	10	1	146
588	J.L	1134	0	1	2	147
589	J.L	1309	39.5	6	1	348
590	J.L	1133	13	10	1	145
591	J.L	1263	49	3	2	292
592	J.L	1263	55.5	2	2	293
593	J.L	1315	9.2	1	1	355
594	J.L	1132	50.7	8	1	144
595	J.L	1131	35.7	6	1	143
596	J.L	1130	46.5	7	1	142
597	J.L	1129	33.1	5	1	141
598	J.L	1370	44	5	1	419
599	J.L	1368	40.5	5	1	417
600	C.D	1031	38.4	7	1	33
601	C.D	1030	48.3	5	1	32
602	C.D	1046	37.7	7	1	48
603	C.D	1047	55.9	7	1	49
604	C.D	1029	37.8	5	2	31
605	C.D	1048	22.4	12	1	50
606	C.D	1029	30.2	4	2	30
607	C.D	1028	48.1	5	1	29
608	C.D	1042	46.4	8	1	44
609	C.D	1050	49.5	4	1	52
610	C.D	1027	35.1	6	1	28
611	C.D	1040	44.4	7	1	42
612	C.D	1051	66.3	5	2	53
613	C.D	1051	41.1	3	2	54
614	C.D	1102	40	4	1	113
615	C.D	1052	44.6	6	1	55
616	C.D	1045	55.9	8	1	47
617	C.D	1021	11.7	3	1	22
618	C.D	1039	44.8	6	1	41
619	C.D	1022	38.6	5	1	23
620	C.D	1044	42.8	8	1	46
621	C.D	1067	34	12	1	70
622	C.D	1026	52.2	10	1	27
623	C.D	1043	40.1	10	1	45
624	C.D	1101	40.8	10	1	112
625	C.D	1041	41.6	8	1	43
626	C.D	1023	52.5	7	1	24
627	C.D	1025	52.7	8	1	26
628	C.D	1024	50.3	8	1	25
629	C.D	1049	38.1	15	1	51
630	C.D	1322	39.3	4	2	363
631	C.D	1322	28.4	3	2	364
632	C.D	1322	11.4	1	2	365
633	C.D	1324	39.5	5	1	367
634	C.D	1319	31.1	7	1	360
635	C.D	1320	48.8	5	1	361
636	C.D	1323	45.7	4	1	366
637	C.D	1325	35	5	2	369
638	C.D	1325	34.4	5	2	368
639	C.D	1321	44.7	8	1	362
640	C.D	1327	65.8	7	1	371
641	C.D	1333	53.2	6	1	379
642	C.D	1332	29.2	4	2	378
643	C.D	1332	30.8	5	2	377
644	C.D	1302	29.4	6	2	340
645	C.D	1302	30.2	6	2	339
646	C.D	1329	29.3	2	2	374
647	C.D	1329	36.9	6	2	373
648	C.D	1313	49.8	8	1	353
649	C.D	1314	40.2	5	1	354
650	C.D	1312	44.7	3	1	351
651	C.D	1312	24.1	2	2	352
652	C.D	1310	33.7	11	1	349
653	C.D	1311	43.9	8	1	350
654	C.D	1305	22.4	4	1	343
655	C.D	1399	27.2	7	1	453
656	C.D	1301	59.2	4	1	338
657	C.D	1326	32.1	9	1	370
658	C.D	1262	41.1	5	1	291
659	C.D	1261	43.7	9	1	290
660	C.D	1260	47.6	14	1	289
661	C.D	1259	48.3	8	1	288
662	C.D	1258	49.4	9	1	287
663	C.D	1256	34.6	1	2	284
664	C.D	1256	65.2	5	2	285
665	C.D	1253	51.6	6	1	281
666	C.D	1442	33.8	6	1	504
667	C.D	1447	37	7	1	510
668	C.D	1448	26.9	7	1	511
669	C.D	1380	38.8	4	1	431
670	C.D	1150	50.6	5	1	163
671	C.D	1149	43.6	12	1	162
672	C.D	1148	50.7	7	1	161
673	C.D	1147	51.5	4	1	160
674	C.D	1146	36.2	11	1	159
675	C.D	1427	41	9	1	488
676	C.D	1425	36.2	5	2	485
677	C.D	1425	35.5	4	2	486
678	C.D	1417	20.6	8	1	475
679	C.D	1426	30	14	1	487
680	C.D	1428	38.9	9	1	489
681	C.D	1429	48	8	1	490
682	C.D	1430	28	5	2	491
683	C.D	1430	43.4	3	2	492
684	C.D	1431	28.7	7	1	493
685	C.D	1566	40.8	6	1	638
686	C.D	1163	48.1	11	1	178
687	C.D	1164	49.1	2	2	179
688	C.D	1164	44.1	3	2	180
689	C.D	1574	42.4	4	2	648
690	C.D	1574	31.4	3	2	647
691	C.D	1573	37.1	5	1	646
692	C.D	1567	40.2	6	1	639
693	C.D	1568	46.2	4	1	640
694	C.D	1560	27.9	9	1	631
695	C.D	1563	49	7	1	634
696	C.D	1572	35.2	8	1	645
697	C.D	1564	32.3	9	1	635
698	C.D	1606	41.3	4	1	684
699	C.D	1700	35.1	6	1	704
700	C.D	1607	32.7	7	1	685
701	C.D	1612	29.6	7	1	690
702	C.D	1617	24.8	10	1	695
703	C.D	1609	28.5	4	1	687
704	C.D	1608	31.1	8	1	686
705	C.D	1592	33.8	7	1	669
706	C.D	1580	26.5	7	1	654
707	C.D	1581	31.9	12	1	655
708	C.D	1583	30.2	7	1	658
709	C.D	1585	29.6	9	1	660
710	C.D	1593	36.6	5	1	670
711	C.D	1594	33.1	8	1	671
712	C.D	1491	45.9	7	1	556
713	C.D	1479	37	9	1	544
714	C.D	1514	42.3	5	1	584
715	C.D	1480	46.2	7	1	545
716	C.D	1482	35.9	10	1	547
717	C.D	1481	35.1	6	1	546
718	C.D	1483	48	11	1	548
719	C.D	1485	43.6	10	1	550
720	C.D	1484	36.4	4	1	549
721	C.D	1486	43.3	4	1	551
722	C.D	1487	35.5	5	1	552
723	C.D	1490	51.7	6	1	555
724	C.D	1488	46.5	7	1	553
725	C.D	1462	38.9	4	1	526
726	C.D	1179	39.8	10	1	198
727	C.D	1178	30.2	11	1	197
728	C.D	1177	36.3	12	1	196
729	C.D	1176	55.7	9	1	195
730	C.D	1175	52.4	5	1	194
731	C.D	1174	41.9	6	1	193
732	C.D	1173	35.4	8	1	192
733	C.D	1172	43.4	4	1	191
735	C.D	1171	49.9	7	2	190
736	C.D	1170	41.5	4	2	188
737	C.D	1170	29.1	5	2	187
738	C.D	1169	37.8	8	1	186
739	C.D	1168	43.7	10	1	185
740	C.D	1167	35.3	5	2	183
741	C.D	1167	37	9	2	184
742	C.D	1166	35.4	6	1	182
743	C.D	1193	21.7	5	1	213
744	C.D	1192	45.5	5	1	212
745	C.D	1191	40.8	10	1	211
746	C.D	1190	49.8	4	1	210
747	C.D	1189	41.3	9	1	209
748	C.D	1188	40.6	5	1	208
749	C.D	1187	40.5	5	1	207
